Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPracticeFormMinLengthMobileNumber,Chrome 142.0.7444.176,,,27-11-2025 22:22:04,27-11-2025 22:23:44,"1m - 39,564s",PASSED
,,,,,,,
Test Cases/Negative/Case01-6-N6 Alert Notification For Min Length On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 22:22:05,27-11-2025 22:22:38,"33,232s",PASSED
"DATA BINDING - {""MobileNumber"":""1234567""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 22:22:06,27-11-2025 22:22:08,"2,531s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 22:22:08,27-11-2025 22:22:18,"9,945s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 22:22:18,27-11-2025 22:22:18,"0,057s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:22:18,27-11-2025 22:22:20,"2,045s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:22:20,27-11-2025 22:22:21,"0,416s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:22:21,27-11-2025 22:22:21,"0,331s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:22:21,27-11-2025 22:22:23,"2,018s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 142.0.7444.176,,,27-11-2025 22:22:23,27-11-2025 22:22:24,"0,805s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:22:24,27-11-2025 22:22:26,"2,025s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 22:22:26,27-11-2025 22:22:26,"0,249s",PASSED
