Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPracticeFormNumericalOnly,Chrome 142.0.7444.176,,,27-11-2025 22:16:45,27-11-2025 22:19:17,"2m - 31,757s",FAILED
,,,,,,,
Test Cases/Negative/Case01-7-N7 Alert Notification For Numerical Only On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 22:16:47,27-11-2025 22:17:23,"36,033s",PASSED
"DATA BINDING - {""MobileNumber"":""+624567891""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 22:16:48,27-11-2025 22:16:53,"5,083s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 22:16:53,27-11-2025 22:17:01,"8,015s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 22:17:01,27-11-2025 22:17:02,"0,096s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:17:02,27-11-2025 22:17:04,"2,059s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:17:04,27-11-2025 22:17:04,"0,466s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:17:04,27-11-2025 22:17:04,"0,392s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:17:04,27-11-2025 22:17:06,"2,015s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 142.0.7444.176,,,27-11-2025 22:17:06,27-11-2025 22:17:08,"1,173s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:17:08,27-11-2025 22:17:10,"2,025s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 22:17:10,27-11-2025 22:17:10,"0,381s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:17:10,27-11-2025 22:17:12,"2,115s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 22:17:12,27-11-2025 22:17:13,"0,438s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:17:13,27-11-2025 22:17:15,"2,017s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:17:15,27-11-2025 22:17:15,"0,320s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:17:15,27-11-2025 22:17:17,"2,018s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 142.0.7444.176,,,27-11-2025 22:17:17,27-11-2025 22:17:18,"0,663s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:17:18,27-11-2025 22:17:20,"2,010s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 0)",Chrome 142.0.7444.176,,,27-11-2025 22:17:20,27-11-2025 22:17:20,"0,323s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:17:20,27-11-2025 22:17:22,"2,019s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:17:22,27-11-2025 22:17:22,"0,310s",PASSED
"click(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""))",Chrome 142.0.7444.176,,,27-11-2025 22:17:22,27-11-2025 22:17:23,"0,551s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/class_Mobile_Number_Invalid""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:17:23,27-11-2025 22:17:23,"0,282s",PASSED
,,,,,,,
Test Cases/Negative/Case01-7-N7 Alert Notification For Numerical Only On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 22:17:23,27-11-2025 22:18:09,"45,407s",FAILED
"DATA BINDING - {""MobileNumber"":""+624567891""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 22:17:23,27-11-2025 22:17:26,"2,998s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 22:17:26,27-11-2025 22:18:09,"42,370s",FAILED
,,,,,,,
Test Cases/Negative/Case01-7-N7 Alert Notification For Numerical Only On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 22:18:09,27-11-2025 22:19:15,"1m - 6,968s",PASSED
"DATA BINDING - {""MobileNumber"":""+624567891""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 22:18:09,27-11-2025 22:18:10,"1,083s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 22:18:10,27-11-2025 22:18:50,"40,069s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 22:18:50,27-11-2025 22:18:50,"0,089s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:18:50,27-11-2025 22:18:52,"2,022s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:18:52,27-11-2025 22:18:58,"5,921s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:18:58,27-11-2025 22:18:58,"0,309s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:18:58,27-11-2025 22:19:00,"2,024s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 142.0.7444.176,,,27-11-2025 22:19:00,27-11-2025 22:19:01,"0,903s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:19:01,27-11-2025 22:19:03,"2,017s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 22:19:03,27-11-2025 22:19:03,"0,295s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:19:03,27-11-2025 22:19:05,"2,017s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 22:19:05,27-11-2025 22:19:06,"0,254s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:19:06,27-11-2025 22:19:08,"2,017s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:19:08,27-11-2025 22:19:08,"0,269s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:19:08,27-11-2025 22:19:10,"2,011s",PASSED
