Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 21:56:27,27-11-2025 21:56:28,"0,269s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:28,27-11-2025 21:56:30,"2,016s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 142.0.7444.176,,,27-11-2025 21:56:30,27-11-2025 21:56:30,"0,367s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:30,27-11-2025 21:56:32,"2,005s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 0)",Chrome 142.0.7444.176,,,27-11-2025 21:56:32,27-11-2025 21:56:32,"0,254s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:32,27-11-2025 21:56:34,"2,017s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 21:56:34,27-11-2025 21:56:35,"0,259s",PASSED
"click(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""))",Chrome 142.0.7444.176,,,27-11-2025 21:56:35,27-11-2025 21:56:35,"0,334s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/class_Mobile_Number_Invalid""), 8)",Chrome 142.0.7444.176,,,27-11-2025 21:56:35,27-11-2025 21:56:35,"0,252s",PASSED
,,,,,,,
Test Cases/Negative/Case01-6-N6 Alert Notification For Min Length On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 21:56:35,27-11-2025 21:57:03,"27,455s",PASSED
"DATA BINDING - {""MobileNumber"":""1234567""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 21:56:35,27-11-2025 21:56:37,"2,063s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 21:56:37,27-11-2025 21:56:43,"5,763s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 21:56:43,27-11-2025 21:56:43,"0,035s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:43,27-11-2025 21:56:45,"2,013s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 21:56:45,27-11-2025 21:56:45,"0,254s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 21:56:45,27-11-2025 21:56:46,"0,267s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:46,27-11-2025 21:56:48,"2,016s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 142.0.7444.176,,,27-11-2025 21:56:48,27-11-2025 21:56:48,"0,680s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:48,27-11-2025 21:56:50,"2,007s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 21:56:50,27-11-2025 21:56:51,"0,253s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:51,27-11-2025 21:56:53,"2,019s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 21:56:53,27-11-2025 21:56:53,"0,268s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:53,27-11-2025 21:56:55,"2,014s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 21:56:55,27-11-2025 21:56:55,"0,272s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:55,27-11-2025 21:56:57,"2,010s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 142.0.7444.176,,,27-11-2025 21:56:57,27-11-2025 21:56:58,"0,345s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:56:58,27-11-2025 21:57:00,"2,008s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 0)",Chrome 142.0.7444.176,,,27-11-2025 21:57:00,27-11-2025 21:57:00,"0,265s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:57:00,27-11-2025 21:57:02,"2,013s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 21:57:02,27-11-2025 21:57:02,"0,252s",PASSED
"click(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""))",Chrome 142.0.7444.176,,,27-11-2025 21:57:02,27-11-2025 21:57:02,"0,352s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/class_Mobile_Number_Invalid""), 8)",Chrome 142.0.7444.176,,,27-11-2025 21:57:02,27-11-2025 21:57:03,"0,251s",PASSED
