Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPracticeFormNumericalOnly,Chrome 142.0.7444.176,,,27-11-2025 20:52:53,27-11-2025 20:54:41,"1m - 47,873s",PASSED
,,,,,,,
Test Cases/Negative/Case01-7-N7 Alert Notification For Numerical Only On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 20:52:54,27-11-2025 20:53:42,"48,388s",PASSED
"DATA BINDING - {""MobileNumber"":""+624567891""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 20:52:55,27-11-2025 20:52:57,"2,828s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 20:52:57,27-11-2025 20:53:22,"25,090s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 20:53:22,27-11-2025 20:53:22,"0,051s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:22,27-11-2025 20:53:25,"2,025s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 20:53:25,27-11-2025 20:53:25,"0,346s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 20:53:25,27-11-2025 20:53:25,"0,292s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:25,27-11-2025 20:53:27,"2,010s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 142.0.7444.176,,,27-11-2025 20:53:27,27-11-2025 20:53:28,"0,822s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:28,27-11-2025 20:53:30,"2,012s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 20:53:30,27-11-2025 20:53:30,"0,253s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:30,27-11-2025 20:53:32,"2,006s",PASSED
