Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:27:06,27-11-2025 22:27:06,"0,269s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:06,27-11-2025 22:27:08,"2,015s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 142.0.7444.176,,,27-11-2025 22:27:08,27-11-2025 22:27:08,"0,396s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:08,27-11-2025 22:27:10,"2,007s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 0)",Chrome 142.0.7444.176,,,27-11-2025 22:27:10,27-11-2025 22:27:11,"0,252s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:11,27-11-2025 22:27:13,"2,021s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:27:13,27-11-2025 22:27:13,"0,257s",PASSED
"click(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""))",Chrome 142.0.7444.176,,,27-11-2025 22:27:13,27-11-2025 22:27:13,"0,467s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/class_Mobile_Number_Invalid""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:27:13,27-11-2025 22:27:14,"0,262s",PASSED
,,,,,,,
Test Cases/Negative/Case01-7-N7 Alert Notification For Numerical Only On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 22:27:14,27-11-2025 22:28:01,"47,459s",PASSED
"DATA BINDING - {""MobileNumber"":""+624567891""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 22:27:14,27-11-2025 22:27:15,"1,320s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 22:27:15,27-11-2025 22:27:41,"26,052s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 22:27:41,27-11-2025 22:27:41,"0,056s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:41,27-11-2025 22:27:43,"2,029s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:27:43,27-11-2025 22:27:44,"0,513s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:27:44,27-11-2025 22:27:44,"0,320s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:44,27-11-2025 22:27:46,"2,012s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 142.0.7444.176,,,27-11-2025 22:27:46,27-11-2025 22:27:47,"0,765s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:47,27-11-2025 22:27:49,"2,016s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 22:27:49,27-11-2025 22:27:49,"0,266s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:49,27-11-2025 22:27:51,"2,006s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 22:27:51,27-11-2025 22:27:51,"0,265s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:51,27-11-2025 22:27:53,"2,015s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:27:53,27-11-2025 22:27:54,"0,265s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:54,27-11-2025 22:27:56,"2,005s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 142.0.7444.176,,,27-11-2025 22:27:56,27-11-2025 22:27:56,"0,363s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:56,27-11-2025 22:27:58,"2,004s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 0)",Chrome 142.0.7444.176,,,27-11-2025 22:27:58,27-11-2025 22:27:58,"0,272s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:27:58,27-11-2025 22:28:00,"2,007s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:28:00,27-11-2025 22:28:00,"0,248s",PASSED
"click(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""))",Chrome 142.0.7444.176,,,27-11-2025 22:28:00,27-11-2025 22:28:01,"0,367s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/class_Mobile_Number_Invalid""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:28:01,27-11-2025 22:28:01,"0,253s",PASSED
