Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPracticeFormNumericalOnly,Firefox 145.0.1,,,27-11-2025 21:57:37,27-11-2025 21:59:29,"1m - 52,576s",PASSED
,,,,,,,
Test Cases/Negative/Case01-7-N7 Alert Notification For Numerical Only On Mobile Number Field,Firefox 145.0.1,Sebagai Sample,,27-11-2025 21:57:38,27-11-2025 21:58:16,"38,300s",PASSED
"DATA BINDING - {""MobileNumber"":""+624567891""}",,,,,,,
"openBrowser("""")",Firefox 145.0.1,,,27-11-2025 21:57:38,27-11-2025 21:57:45,"6,080s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Firefox 145.0.1,,,27-11-2025 21:57:45,27-11-2025 21:57:56,"11,049s",PASSED
maximizeWindow(),Firefox 145.0.1,,,27-11-2025 21:57:56,27-11-2025 21:57:56,"0,083s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 21:57:56,27-11-2025 21:57:58,"2,066s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Firefox 145.0.1,,,27-11-2025 21:57:58,27-11-2025 21:57:58,"0,520s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Firefox 145.0.1,,,27-11-2025 21:57:58,27-11-2025 21:57:59,"0,339s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 21:57:59,27-11-2025 21:58:01,"2,019s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Firefox 145.0.1,,,27-11-2025 21:58:01,27-11-2025 21:58:01,"0,835s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 21:58:01,27-11-2025 21:58:03,"2,015s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Firefox 145.0.1,,,27-11-2025 21:58:03,27-11-2025 21:58:04,"0,276s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 21:58:04,27-11-2025 21:58:06,"2,024s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Firefox 145.0.1,,,27-11-2025 21:58:06,27-11-2025 21:58:06,"0,342s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 21:58:06,27-11-2025 21:58:08,"2,018s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Firefox 145.0.1,,,27-11-2025 21:58:08,27-11-2025 21:58:08,"0,279s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 21:58:08,27-11-2025 21:58:10,"2,021s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Firefox 145.0.1,,,27-11-2025 21:58:10,27-11-2025 21:58:11,"0,422s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 21:58:11,27-11-2025 21:58:13,"2,012s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 0)",Firefox 145.0.1,,,27-11-2025 21:58:13,27-11-2025 21:58:13,"0,276s",PASSED
