Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPracticeFormMinLengthMobileNumber,Chrome 142.0.7444.176,,,27-11-2025 20:51:04,27-11-2025 20:52:33,"1m - 28,846s",PASSED
,,,,,,,
Test Cases/Negative/Case01-6-N6 Alert Notification For Min Length On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 20:51:05,27-11-2025 20:51:35,"30,396s",PASSED
"DATA BINDING - {""MobileNumber"":""1234567""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 20:51:06,27-11-2025 20:51:08,"2,861s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 20:51:08,27-11-2025 20:51:16,"7,319s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 20:51:16,27-11-2025 20:51:16,"0,053s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:51:16,27-11-2025 20:51:18,"2,026s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 20:51:18,27-11-2025 20:51:18,"0,343s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 20:51:18,27-11-2025 20:51:18,"0,299s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:51:18,27-11-2025 20:51:20,"2,019s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 142.0.7444.176,,,27-11-2025 20:51:20,27-11-2025 20:51:21,"0,672s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:51:21,27-11-2025 20:51:23,"2,012s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 20:51:23,27-11-2025 20:51:23,"0,269s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:51:23,27-11-2025 20:51:25,"2,012s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 20:51:25,27-11-2025 20:51:26,"0,254s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:51:26,27-11-2025 20:51:28,"2,007s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 20:51:28,27-11-2025 20:51:28,"0,277s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:51:28,27-11-2025 20:51:30,"2,008s",PASSED
