Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPractiveFormInvalidFormatEmail,Firefox 145.0.1,,,27-11-2025 20:53:06,27-11-2025 20:57:32,"4m - 25,946s",PASSED
,,,,,,,
Test Cases/Negative/Case01-1-N1 Alert Notification For Invalid Format Email On Email Field,Firefox 145.0.1,Sebagai Sample,,27-11-2025 20:53:07,27-11-2025 20:54:45,"1m - 37,432s",PASSED
"DATA BINDING - {""EmailAddress"":""NotAnEmail1""}",,,,,,,
"openBrowser("""")",Firefox 145.0.1,,,27-11-2025 20:53:08,27-11-2025 20:53:12,"4,385s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Firefox 145.0.1,,,27-11-2025 20:53:12,27-11-2025 20:54:25,"1m - 12,958s",PASSED
maximizeWindow(),Firefox 145.0.1,,,27-11-2025 20:54:25,27-11-2025 20:54:25,"0,025s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 20:54:25,27-11-2025 20:54:27,"2,034s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), 8)",Firefox 145.0.1,,,27-11-2025 20:54:27,27-11-2025 20:54:27,"0,322s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), STOP_ON_FAILURE)",Firefox 145.0.1,,,27-11-2025 20:54:27,27-11-2025 20:54:28,"0,296s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 20:54:28,27-11-2025 20:54:30,"2,014s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), EmailAddress)",Firefox 145.0.1,,,27-11-2025 20:54:30,27-11-2025 20:54:30,"0,632s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 20:54:30,27-11-2025 20:54:32,"2,017s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 8)",Firefox 145.0.1,,,27-11-2025 20:54:32,27-11-2025 20:54:33,"0,240s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 20:54:33,27-11-2025 20:54:35,"2,009s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Firefox 145.0.1,,,27-11-2025 20:54:35,27-11-2025 20:54:35,"0,258s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 20:54:35,27-11-2025 20:54:37,"2,011s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Firefox 145.0.1,,,27-11-2025 20:54:37,27-11-2025 20:54:37,"0,244s",PASSED
delay(2),Firefox 145.0.1,,,27-11-2025 20:54:37,27-11-2025 20:54:39,"2,017s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Firefox 145.0.1,,,27-11-2025 20:54:39,27-11-2025 20:54:40,"0,361s",PASSED
