Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPractiveFormInvalidFormatEmail,Chrome 142.0.7444.176,,,27-11-2025 21:57:59,27-11-2025 22:00:02,"2m - 2,807s",PASSED
,,,,,,,
Test Cases/Negative/Case01-1-N1 Alert Notification For Invalid Format Email On Email Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 21:58:00,27-11-2025 21:58:32,"31,905s",PASSED
"DATA BINDING - {""EmailAddress"":""NotAnEmail1""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 21:58:01,27-11-2025 21:58:04,"3,262s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 21:58:04,27-11-2025 21:58:11,"6,790s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 21:58:11,27-11-2025 21:58:11,"0,101s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:11,27-11-2025 21:58:13,"2,098s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), 8)",Chrome 142.0.7444.176,,,27-11-2025 21:58:13,27-11-2025 21:58:14,"0,625s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 21:58:14,27-11-2025 21:58:15,"0,493s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:15,27-11-2025 21:58:17,"2,015s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), EmailAddress)",Chrome 142.0.7444.176,,,27-11-2025 21:58:17,27-11-2025 21:58:18,"1,005s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:18,27-11-2025 21:58:20,"2,019s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 8)",Chrome 142.0.7444.176,,,27-11-2025 21:58:20,27-11-2025 21:58:20,"0,281s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:20,27-11-2025 21:58:22,"2,014s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 21:58:22,27-11-2025 21:58:22,"0,304s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:22,27-11-2025 21:58:24,"2,020s",PASSED
